10.205.18.106,qk-around,QK-SO-01.IDC01
10.205.18.107,qk-around,QK-UW-01.IDC01
10.205.18.110,qk-uw,QK-UW-01.IDCO1
10.205.18.111,qk-around,TCPCOPY-COPY.IDC01
10.205.18.112,qk-around,TCPCOPY-INTERCEPT.IDC01
10.205.18.114,qk-around,QK-REPORT-01.IDC01
10.205.18.115,qk-around,QK-SMSP-01.IDC01
10.205.18.129,qk-opt-bill,QK-OPT-BILL-06.IDC01
10.205.18.130,qk-opt-bill,QK-OPT-BILL-07.IDC01
10.205.18.131,qk-opt-bill,QK-OPT-BILL-08.IDC01
10.205.18.132,qk-qct,QK-QCT-03.IDC01
10.205.18.198,qk-around,QK-SMSP-03.IDC01
10.205.18.199,qk-around,QK-SMSP-04.IDC01
10.205.18.61,qk-cms,QK-CMS-02.IDC01
10.205.18.62,qk-cms,QK-CMS-03.IDC01
10.205.18.63,qk-cms,QK-CMS-04.IDC01
10.205.18.64,qk-acc,QK-ACC-02.IDC01
10.205.18.65,qk-acc,QK-ACC-03.IDC01
10.205.18.66,qk-mat,QK-MAT-01.IDC01
10.205.18.67,qk-mat,QK-MAT-02.IDC01
10.205.18.68,qk-opt-bill,QK-OPT-BILL-02.IDC01
10.205.18.69,qk-opt-bill,QK-OPT-BILL-03.IDC01
10.205.18.70,qk-opt-bill,QK-OPT-BILL-04.IDC01
10.205.18.71,qk-opt-scan,QK-OPT-SCAN-02.IDC01
10.205.18.72,qk-opt-scan,QK-OPT-SCAN-03.IDC01
10.205.18.73,qk-opt-scan,QK-OPT-SCAN-04.IDC01
10.205.18.74,qk-qct,QK-QCT-01.IDC01
10.205.18.75,qk-qct,QK-QCT-02.IDC01
10.205.18.76,qk-site,QK-SITE-01.IDC01
10.205.18.77,qk-site,QK-SITE-02.IDC01
10.205.18.78,qk-site,QK-SITE-03.IDC01
10.205.18.79,qk-site,QK-SITE-04.IDC01
10.205.18.80,qk-site,QK-SITE-05.IDC01
10.205.18.81,qk-site,QK-SITE-06.IDC01
10.205.18.82,qk-wbms,QK-WBMS-02.IDC01
10.205.18.83,qk-wbms,QK-WBMS-03.IDC01
10.205.18.84,qk-readonly,QK-READONLY.IDC01
10.205.18.85,qk-around,QK-WMS-01.IDC01
10.205.18.86,qk-around,QK-WMS-02.IDC01
10.205.18.87,qk-around,QK-TAIBAO-01.IDC01
10.205.18.97,qk-around,QK-PAY-WEB-01.IDC01
10.205.18.98,qk-around,QK-FILESERVEER-01.IDC01
10.205.34.68,qk-around,QK-ESB-01.IDC01
10.205.34.70,qk-around,QK-HALL-01.IDC01
10.205.8.51,qk-around,UAT-TCPCOPY-COPY-01
10.205.8.52,qk-around,UAT-TCPCOPY-INTER-01
10.205.54.100,qk-opt-scan,qk.jboss.qk-opt-scan.06.idc01
10.205.54.101,qk-qct,QK-QCT-04.IDC01
10.205.54.102,qk-site,qk.jboss.qk-site.08.idc01
10.205.54.103,qk-other,QK-OTHER-03.IDC01
10.205.54.116,qk-mat,QK-MAT-03.IDC01
10.205.54.117,qk-around,QK-WMS-03.IDC01
10.205.54.136,qk-cms,QK-CMS-06.IDC01
10.205.54.137,qk-cms,QK-CMS-07.IDC01
10.205.54.142,qk-opt-scan,QK-OPT-SCAN-07.IDC01
10.205.54.96,qk-cms,qk.jboss.qk-cms.10.idc01
10.205.54.97,qk-acc,QK-ACC-04.IDC01
10.205.70.67,qk-around,qk.tomcat.omg-cms-sync.01.idc01
10.205.16.11,qk-nginx,QK-NGINX-01.IDC01
10.205.16.12,qk-nginx,QK-NGINX-02.IDC01
